suburb,state,sal_code,census_year,median_age,median_household_income_weekly,avg_household_size,owner_occupied_pct,renter_pct,household_composition_json
Ryhope,NSW,SAL13471,2021,49.0,1375.0,2.8,100.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 27.3, ""lone_person_pct"": 36.4}"
Rylstone,NSW,SAL13472,2021,54.0,1113.0,2.1,74.8,17.8,"{""family_household_pct"": 61.6, ""non_family_household_pct"": 37.4, ""lone_person_pct"": 33.8}"
Sackville,NSW,SAL13473,2021,46.0,2178.0,2.8,84.0,7.4,"{""family_household_pct"": 74.1, ""non_family_household_pct"": 22.2, ""lone_person_pct"": 23.5}"
Sackville North,NSW,SAL13474,2021,41.0,2833.0,3.3,86.4,8.5,"{""family_household_pct"": 83.1, ""non_family_household_pct"": 11.0, ""lone_person_pct"": 7.6}"
Saddleback Mountain,NSW,SAL13475,2021,59.0,1916.0,2.5,96.0,0.0,"{""family_household_pct"": 92.0, ""non_family_household_pct"": 12.0, ""lone_person_pct"": 12.0}"
Sadleir,NSW,SAL13476,2021,33.0,946.0,3.0,43.2,52.2,"{""family_household_pct"": 69.8, ""non_family_household_pct"": 30.2, ""lone_person_pct"": 27.1}"
Safety Beach,NSW,SAL13477,2021,46.0,1837.0,2.7,86.7,13.3,"{""family_household_pct"": 83.4, ""non_family_household_pct"": 17.3, ""lone_person_pct"": 15.8}"
Salamander Bay,NSW,SAL13478,2021,57.0,1107.0,2.1,71.3,21.6,"{""family_household_pct"": 64.6, ""non_family_household_pct"": 35.3, ""lone_person_pct"": 33.9}"
Salisbury,NSW,SAL13479,2021,55.0,1875.0,2.5,85.7,0.0,"{""family_household_pct"": 85.7, ""non_family_household_pct"": 19.0, ""lone_person_pct"": 19.0}"
Salisbury Plains,NSW,SAL13480,2021,57.0,1916.0,2.5,81.0,0.0,"{""family_household_pct"": 95.2, ""non_family_household_pct"": 28.6, ""lone_person_pct"": 28.6}"
Sallys Flat,NSW,SAL13481,2021,53.0,1125.0,2.0,0.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 233.3, ""lone_person_pct"": 233.3}"
Salt Ash,NSW,SAL13482,2021,46.0,1461.0,2.7,84.0,12.0,"{""family_household_pct"": 77.7, ""non_family_household_pct"": 20.7, ""lone_person_pct"": 19.1}"
Saltwater,NSW,SAL13483,2021,58.0,1875.0,3.0,,,
San Isidore,NSW,SAL13484,2021,41.0,2178.0,2.9,91.4,6.9,"{""family_household_pct"": 87.9, ""non_family_household_pct"": 13.8, ""lone_person_pct"": 14.7}"
San Remo,NSW,SAL13485,2021,34.0,1375.0,2.7,63.6,33.7,"{""family_household_pct"": 73.0, ""non_family_household_pct"": 26.8, ""lone_person_pct"": 22.5}"
Sancrox,NSW,SAL13486,2021,45.0,2050.0,2.9,91.6,5.4,"{""family_household_pct"": 86.2, ""non_family_household_pct"": 14.3, ""lone_person_pct"": 12.8}"
Sanctuary Point,NSW,SAL13487,2021,47.0,1068.0,2.3,69.1,28.1,"{""family_household_pct"": 67.7, ""non_family_household_pct"": 32.3, ""lone_person_pct"": 29.1}"
Sandbar,NSW,SAL13488,2021,0.0,0.0,0.0,,,
Sandgate,NSW,SAL13489,2021,69.0,687.0,2.0,42.7,37.3,"{""family_household_pct"": 42.7, ""non_family_household_pct"": 52.0, ""lone_person_pct"": 49.3}"
Sandigo,NSW,SAL13490,2021,41.0,1625.0,2.6,42.9,28.6,"{""family_household_pct"": 67.9, ""non_family_household_pct"": 25.0, ""lone_person_pct"": 25.0}"
Sandilands,NSW,SAL13491,2021,51.0,1374.0,3.0,45.5,0.0,"{""family_household_pct"": 63.6, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sandon,NSW,SAL13492,2021,62.0,874.0,1.8,57.1,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sandringham,NSW,SAL13493,2021,47.0,2101.0,2.5,72.4,23.0,"{""family_household_pct"": 69.9, ""non_family_household_pct"": 29.4, ""lone_person_pct"": 28.0}"
Sandy Beach,NSW,SAL13494,2021,35.0,1567.0,2.7,71.6,25.8,"{""family_household_pct"": 77.0, ""non_family_household_pct"": 23.0, ""lone_person_pct"": 19.3}"
Sandy Creek,NSW,SAL13495,2021,42.0,2250.0,3.5,0.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sandy Creek,NSW,SAL13496,2021,48.0,2249.0,2.6,106.7,0.0,"{""family_household_pct"": 53.3, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 20.0}"
Sandy Crossing,NSW,SAL13497,2021,32.0,1624.0,3.8,120.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sandy Flat,NSW,SAL13498,2021,48.0,1333.0,2.5,72.2,0.0,"{""family_household_pct"": 58.3, ""non_family_household_pct"": 38.9, ""lone_person_pct"": 25.0}"
Sandy Gully,NSW,SAL13499,2021,60.0,1437.0,1.9,53.8,0.0,"{""family_household_pct"": 30.8, ""non_family_household_pct"": 30.8, ""lone_person_pct"": 30.8}"
Sandy Hill,NSW,SAL13500,2021,59.0,1281.0,1.9,90.0,0.0,"{""family_household_pct"": 80.0, ""non_family_household_pct"": 40.0, ""lone_person_pct"": 40.0}"
Sandy Hollow,NSW,SAL13501,2021,44.0,1300.0,2.4,73.3,24.0,"{""family_household_pct"": 64.0, ""non_family_household_pct"": 37.3, ""lone_person_pct"": 26.7}"
Sandy Point,NSW,SAL13502,2021,41.0,2986.0,2.9,86.6,10.8,"{""family_household_pct"": 90.7, ""non_family_household_pct"": 10.8, ""lone_person_pct"": 10.8}"
Sanger,NSW,SAL13503,2021,59.0,1249.0,2.0,100.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sans Souci,NSW,SAL13504,2021,44.0,1863.0,2.5,70.0,26.6,"{""family_household_pct"": 69.4, ""non_family_household_pct"": 30.6, ""lone_person_pct"": 28.6}"
Sapphire,NSW,SAL13505,2021,47.0,1375.0,2.8,120.0,0.0,"{""family_household_pct"": 60.0, ""non_family_household_pct"": 60.0, ""lone_person_pct"": 60.0}"
Sapphire Beach,NSW,SAL13506,2021,46.0,2056.0,2.6,81.3,17.5,"{""family_household_pct"": 78.1, ""non_family_household_pct"": 21.7, ""lone_person_pct"": 20.1}"
Saratoga,NSW,SAL13507,2021,43.0,1989.0,2.7,83.0,15.7,"{""family_household_pct"": 78.1, ""non_family_household_pct"": 21.8, ""lone_person_pct"": 20.2}"
Sassafras,NSW,SAL13508,2021,61.0,900.0,1.5,72.7,0.0,"{""family_household_pct"": 36.4, ""non_family_household_pct"": 36.4, ""lone_person_pct"": 36.4}"
Saumarez,NSW,SAL13509,2021,60.0,1468.0,2.2,93.5,9.7,"{""family_household_pct"": 87.1, ""non_family_household_pct"": 22.6, ""lone_person_pct"": 19.4}"
Saumarez Ponds,NSW,SAL13510,2021,46.0,2045.0,2.7,94.5,6.8,"{""family_household_pct"": 87.7, ""non_family_household_pct"": 14.4, ""lone_person_pct"": 15.8}"
Savernake,NSW,SAL13511,2021,40.0,1666.0,2.7,72.0,0.0,"{""family_household_pct"": 72.0, ""non_family_household_pct"": 12.0, ""lone_person_pct"": 12.0}"
Sawpit Creek,NSW,SAL13512,2021,62.0,1375.0,1.6,175.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 75.0, ""lone_person_pct"": 0.0}"
Sawtell,NSW,SAL13513,2021,47.0,1405.0,2.3,65.0,32.5,"{""family_household_pct"": 64.7, ""non_family_household_pct"": 34.8, ""lone_person_pct"": 31.7}"
Sawyers Gully,NSW,SAL13514,2021,42.0,1847.0,3.2,81.6,10.4,"{""family_household_pct"": 86.5, ""non_family_household_pct"": 16.6, ""lone_person_pct"": 13.5}"
Scarborough,NSW,SAL13515,2021,41.0,2571.0,3.1,83.3,18.8,"{""family_household_pct"": 85.4, ""non_family_household_pct"": 12.5, ""lone_person_pct"": 14.6}"
Scheyville,NSW,SAL13516,2021,35.0,6999.0,5.0,,,
Schofields,NSW,SAL13517,2021,32.0,2696.0,3.2,66.8,31.4,"{""family_household_pct"": 88.1, ""non_family_household_pct"": 12.0, ""lone_person_pct"": 9.7}"
Scone,NSW,SAL13518,2021,39.0,1507.0,2.4,65.2,30.4,"{""family_household_pct"": 67.4, ""non_family_household_pct"": 32.4, ""lone_person_pct"": 29.0}"
Scotia,NSW,SAL13519,2021,61.0,575.0,1.4,0.0,71.4,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 71.4, ""lone_person_pct"": 71.4}"
Scotland Island,NSW,SAL13520,2021,48.0,2397.0,2.5,84.6,12.7,"{""family_household_pct"": 75.4, ""non_family_household_pct"": 24.2, ""lone_person_pct"": 21.5}"
Scotts Creek,NSW,SAL13521,2021,47.0,725.0,2.4,46.2,0.0,"{""family_household_pct"": 30.8, ""non_family_household_pct"": 30.8, ""lone_person_pct"": 30.8}"
Scotts Flat,NSW,SAL13522,2021,32.0,1312.0,2.1,28.6,42.9,"{""family_household_pct"": 33.3, ""non_family_household_pct"": 33.3, ""lone_person_pct"": 14.3}"
Scotts Head,NSW,SAL13523,2021,54.0,1212.0,2.2,79.2,17.5,"{""family_household_pct"": 67.8, ""non_family_household_pct"": 33.5, ""lone_person_pct"": 28.2}"
Seaforth,NSW,SAL13524,2021,42.0,4184.0,3.1,82.2,16.2,"{""family_household_pct"": 86.6, ""non_family_household_pct"": 13.2, ""lone_person_pct"": 11.5}"
Seaham,NSW,SAL13525,2021,41.0,2312.0,3.1,92.4,7.3,"{""family_household_pct"": 88.4, ""non_family_household_pct"": 12.5, ""lone_person_pct"": 10.0}"
Seahampton,NSW,SAL13526,2021,37.0,1625.0,2.7,87.6,11.4,"{""family_household_pct"": 74.3, ""non_family_household_pct"": 24.8, ""lone_person_pct"": 18.1}"
Seal Rocks,NSW,SAL13527,2021,46.0,1416.0,2.1,85.7,14.3,"{""family_household_pct"": 71.4, ""non_family_household_pct"": 33.3, ""lone_person_pct"": 33.3}"
Sebastopol,NSW,SAL13528,2021,42.0,2250.0,2.6,77.8,16.7,"{""family_household_pct"": 77.8, ""non_family_household_pct"": 27.8, ""lone_person_pct"": 16.7}"
Sedgefield,NSW,SAL13529,2021,37.0,2656.0,3.3,101.4,0.0,"{""family_household_pct"": 91.8, ""non_family_household_pct"": 9.6, ""lone_person_pct"": 9.6}"
Seelands,NSW,SAL13530,2021,53.0,1468.0,2.6,93.1,5.3,"{""family_household_pct"": 80.2, ""non_family_household_pct"": 25.2, ""lone_person_pct"": 22.1}"
Sefton,NSW,SAL13531,2021,35.0,1528.0,3.3,62.4,33.6,"{""family_household_pct"": 77.2, ""non_family_household_pct"": 22.7, ""lone_person_pct"": 20.0}"
Segenhoe,NSW,SAL13532,2021,39.0,1478.0,2.4,63.9,26.2,"{""family_household_pct"": 72.1, ""non_family_household_pct"": 26.2, ""lone_person_pct"": 21.3}"
Seven Hills,NSW,SAL13533,2021,37.0,1892.0,2.8,62.2,35.3,"{""family_household_pct"": 75.6, ""non_family_household_pct"": 24.3, ""lone_person_pct"": 21.0}"
Seven Oaks,NSW,SAL13534,2021,46.0,1874.0,2.6,54.5,18.2,"{""family_household_pct"": 72.7, ""non_family_household_pct"": 18.2, ""lone_person_pct"": 18.2}"
Sextonville,NSW,SAL13535,2021,48.0,1124.0,2.5,42.9,0.0,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 21.4, ""lone_person_pct"": 21.4}"
Shadforth,NSW,SAL13536,2021,49.0,2374.0,2.6,82.1,15.4,"{""family_household_pct"": 76.9, ""non_family_household_pct"": 17.9, ""lone_person_pct"": 10.3}"
Shallow Bay,NSW,SAL13537,2021,50.0,1166.0,2.4,100.0,19.0,"{""family_household_pct"": 76.2, ""non_family_household_pct"": 33.3, ""lone_person_pct"": 14.3}"
Shalvey,NSW,SAL13538,2021,32.0,1180.0,3.0,44.8,51.1,"{""family_household_pct"": 77.0, ""non_family_household_pct"": 23.1, ""lone_person_pct"": 20.1}"
Shanes Park,NSW,SAL13539,2021,39.0,1531.0,2.9,67.5,25.4,"{""family_household_pct"": 76.3, ""non_family_household_pct"": 25.4, ""lone_person_pct"": 24.6}"
Shannon Brook,NSW,SAL13540,2021,39.0,1575.0,2.8,80.0,18.5,"{""family_household_pct"": 75.4, ""non_family_household_pct"": 23.1, ""lone_person_pct"": 23.1}"
Shannon Vale,NSW,SAL13541,2021,45.0,1458.0,2.5,86.5,15.4,"{""family_household_pct"": 80.8, ""non_family_household_pct"": 23.1, ""lone_person_pct"": 23.1}"
Shannondale,NSW,SAL13542,2021,36.0,1375.0,3.2,72.7,0.0,"{""family_household_pct"": 72.7, ""non_family_household_pct"": 27.3, ""lone_person_pct"": 27.3}"
Shannons Flat,NSW,SAL13543,2021,54.0,1875.0,2.0,93.1,0.0,"{""family_household_pct"": 69.0, ""non_family_household_pct"": 41.4, ""lone_person_pct"": 31.0}"
Shark Creek,NSW,SAL13544,2021,56.0,933.0,1.8,125.0,33.3,"{""family_household_pct"": 91.7, ""non_family_household_pct"": 66.7, ""lone_person_pct"": 41.7}"
Sharps Creek,NSW,SAL13545,2021,42.0,2250.0,4.5,42.9,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Sheedys Gully,NSW,SAL13546,2021,47.0,1625.0,2.5,93.8,0.0,"{""family_household_pct"": 77.1, ""non_family_household_pct"": 14.6, ""lone_person_pct"": 14.6}"
Shell Cove,NSW,SAL13547,2021,40.0,2452.0,3.0,77.4,19.4,"{""family_household_pct"": 87.3, ""non_family_household_pct"": 12.5, ""lone_person_pct"": 11.3}"
Shellharbour,NSW,SAL13548,2021,46.0,1596.0,2.5,64.5,32.7,"{""family_household_pct"": 73.0, ""non_family_household_pct"": 27.3, ""lone_person_pct"": 24.3}"
Shellharbour City Centre,NSW,SAL13549,2021,71.0,949.0,1.6,35.2,33.3,"{""family_household_pct"": 44.1, ""non_family_household_pct"": 55.9, ""lone_person_pct"": 52.1}"
Shelly Beach,NSW,SAL13550,2021,47.0,1646.0,2.5,82.2,15.8,"{""family_household_pct"": 70.2, ""non_family_household_pct"": 28.8, ""lone_person_pct"": 25.8}"
Sherwood,NSW,SAL13551,2021,43.0,900.0,2.4,100.0,0.0,"{""family_household_pct"": 23.1, ""non_family_household_pct"": 46.2, ""lone_person_pct"": 46.2}"
Sherwood,NSW,SAL13552,2021,55.0,1303.0,2.5,89.5,8.8,"{""family_household_pct"": 80.7, ""non_family_household_pct"": 8.8, ""lone_person_pct"": 10.5}"
Sherwood,NSW,SAL13553,2021,56.0,749.0,2.3,66.7,50.0,"{""family_household_pct"": 75.0, ""non_family_household_pct"": 66.7, ""lone_person_pct"": 66.7}"
Shoal Bay,NSW,SAL13554,2021,59.0,1007.0,2.0,55.2,32.8,"{""family_household_pct"": 54.9, ""non_family_household_pct"": 44.7, ""lone_person_pct"": 41.9}"
Shoalhaven Heads,NSW,SAL13555,2021,56.0,1066.0,2.1,78.2,18.2,"{""family_household_pct"": 61.3, ""non_family_household_pct"": 38.9, ""lone_person_pct"": 35.9}"
Shooters Hill,NSW,SAL13556,2021,48.0,2749.0,2.6,90.0,30.0,"{""family_household_pct"": 90.0, ""non_family_household_pct"": 30.0, ""lone_person_pct"": 0.0}"
Shortland,NSW,SAL13557,2021,33.0,1344.0,2.3,55.6,36.0,"{""family_household_pct"": 62.0, ""non_family_household_pct"": 37.9, ""lone_person_pct"": 29.5}"
Silent Grove,NSW,SAL13558,2021,67.0,1249.0,2.3,0.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Silverdale,NSW,SAL13559,2021,35.0,2654.0,3.3,88.8,9.8,"{""family_household_pct"": 90.2, ""non_family_household_pct"": 10.2, ""lone_person_pct"": 9.4}"
Silverton,NSW,SAL13560,2021,58.0,1375.0,2.0,95.5,0.0,"{""family_household_pct"": 59.1, ""non_family_household_pct"": 40.9, ""lone_person_pct"": 40.9}"
Silverwater,NSW,SAL13561,2021,51.0,1387.0,2.4,82.7,26.0,"{""family_household_pct"": 74.0, ""non_family_household_pct"": 29.8, ""lone_person_pct"": 25.0}"
Silverwater,NSW,SAL13562,2021,35.0,1875.0,2.7,48.2,48.7,"{""family_household_pct"": 72.4, ""non_family_household_pct"": 27.1, ""lone_person_pct"": 23.2}"
Simpkins Creek,NSW,SAL13563,2021,38.0,1625.0,3.0,66.7,41.7,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Singleton,NSW,SAL13564,2021,40.0,1517.0,2.3,64.4,33.3,"{""family_household_pct"": 64.4, ""non_family_household_pct"": 36.1, ""lone_person_pct"": 33.1}"
Singleton Heights,NSW,SAL13565,2021,33.0,1925.0,2.6,64.7,33.5,"{""family_household_pct"": 72.5, ""non_family_household_pct"": 27.4, ""lone_person_pct"": 25.0}"
Singleton Military Area,NSW,SAL13566,2021,21.0,1625.0,3.3,0.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Singletons Mill,NSW,SAL13567,2021,60.0,725.0,1.0,,,
Six Mile Swamp,NSW,SAL13568,2021,0.0,0.0,0.0,,,
Skennars Head,NSW,SAL13569,2021,47.0,1674.0,2.5,80.9,15.9,"{""family_household_pct"": 73.2, ""non_family_household_pct"": 27.6, ""lone_person_pct"": 25.8}"
Skillion Flat,NSW,SAL13570,2021,49.0,1562.0,2.7,92.9,0.0,"{""family_household_pct"": 75.0, ""non_family_household_pct"": 25.0, ""lone_person_pct"": 17.9}"
Skinners Shoot,NSW,SAL13571,2021,40.0,1874.0,2.8,75.7,32.4,"{""family_household_pct"": 67.6, ""non_family_household_pct"": 18.9, ""lone_person_pct"": 18.9}"
Sleepy Hollow,NSW,SAL13572,2021,47.0,1375.0,2.5,75.0,31.8,"{""family_household_pct"": 59.1, ""non_family_household_pct"": 34.1, ""lone_person_pct"": 13.6}"
Smeaton Grange,NSW,SAL13573,2021,49.0,899.0,1.3,0.0,200.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 166.7, ""lone_person_pct"": 166.7}"
Smiggin Holes,NSW,SAL13574,2021,27.0,0.0,0.0,,,
Smithfield,NSW,SAL13575,2021,38.0,1300.0,3.1,53.7,43.0,"{""family_household_pct"": 75.1, ""non_family_household_pct"": 24.9, ""lone_person_pct"": 23.0}"
Smiths Creek,NSW,SAL13576,2021,43.0,450.0,3.3,0.0,0.0,"{""family_household_pct"": 66.7, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Smiths Creek,NSW,SAL13577,2021,57.0,1333.0,1.9,90.9,0.0,"{""family_household_pct"": 72.7, ""non_family_household_pct"": 31.8, ""lone_person_pct"": 45.5}"
Smiths Creek,NSW,SAL13578,2021,47.0,1187.0,2.5,80.7,12.6,"{""family_household_pct"": 70.6, ""non_family_household_pct"": 26.9, ""lone_person_pct"": 24.4}"
Smiths Lake,NSW,SAL13579,2021,49.0,1210.0,2.3,82.0,16.7,"{""family_household_pct"": 72.5, ""non_family_household_pct"": 28.3, ""lone_person_pct"": 26.7}"
Smithtown,NSW,SAL13580,2021,43.0,1178.0,2.4,74.2,16.7,"{""family_household_pct"": 67.9, ""non_family_household_pct"": 31.2, ""lone_person_pct"": 29.6}"
Snakes Plain,NSW,SAL13581,2021,40.0,1875.0,1.8,0.0,0.0,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 100.0, ""lone_person_pct"": 100.0}"
Snowball,NSW,SAL13582,2021,73.0,1199.0,1.5,,,
Snowy Plain,NSW,SAL13583,2021,46.0,1874.0,2.0,,,
Sodwalls,NSW,SAL13584,2021,52.0,1937.0,2.3,86.5,8.1,"{""family_household_pct"": 70.3, ""non_family_household_pct"": 16.2, ""lone_person_pct"": 27.0}"
Sofala,NSW,SAL13585,2021,60.0,668.0,1.8,74.5,7.8,"{""family_household_pct"": 41.2, ""non_family_household_pct"": 52.9, ""lone_person_pct"": 47.1}"
Soldiers Point,NSW,SAL13586,2021,56.0,1350.0,2.2,72.8,25.3,"{""family_household_pct"": 68.6, ""non_family_household_pct"": 32.0, ""lone_person_pct"": 29.2}"
Somersby,NSW,SAL13587,2021,47.0,2215.0,3.0,67.1,25.0,"{""family_household_pct"": 80.6, ""non_family_household_pct"": 18.2, ""lone_person_pct"": 17.1}"
Somerton,NSW,SAL13588,2021,38.0,1455.0,2.6,69.1,24.5,"{""family_household_pct"": 69.1, ""non_family_household_pct"": 30.9, ""lone_person_pct"": 26.6}"
South Albury,NSW,SAL13589,2021,40.0,1147.0,1.8,39.6,56.8,"{""family_household_pct"": 43.5, ""non_family_household_pct"": 56.6, ""lone_person_pct"": 52.0}"
South Arm,NSW,SAL13590,2021,56.0,1452.0,2.5,80.5,11.7,"{""family_household_pct"": 72.7, ""non_family_household_pct"": 20.8, ""lone_person_pct"": 20.8}"
South Arm,NSW,SAL13591,2021,49.0,900.0,2.5,64.2,28.4,"{""family_household_pct"": 68.8, ""non_family_household_pct"": 34.9, ""lone_person_pct"": 25.7}"
South Ballina,NSW,SAL13592,2021,56.0,1124.0,1.7,71.4,21.4,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 64.3, ""lone_person_pct"": 78.6}"
South Bathurst,NSW,SAL13593,2021,38.0,1222.0,2.2,59.3,37.3,"{""family_household_pct"": 61.6, ""non_family_household_pct"": 38.9, ""lone_person_pct"": 34.0}"
South Bowenfels,NSW,SAL13594,2021,48.0,1608.0,2.4,75.5,6.0,"{""family_household_pct"": 71.1, ""non_family_household_pct"": 28.0, ""lone_person_pct"": 26.0}"
South Coogee,NSW,SAL13595,2021,42.0,2105.0,2.6,49.5,46.4,"{""family_household_pct"": 65.3, ""non_family_household_pct"": 34.6, ""lone_person_pct"": 31.2}"
South Durras,NSW,SAL13596,2021,57.0,1398.0,2.1,80.0,12.4,"{""family_household_pct"": 71.0, ""non_family_household_pct"": 27.6, ""lone_person_pct"": 24.1}"
South Golden Beach,NSW,SAL13597,2021,40.0,1620.0,2.5,65.9,33.4,"{""family_household_pct"": 68.1, ""non_family_household_pct"": 31.6, ""lone_person_pct"": 22.5}"
South Grafton,NSW,SAL13598,2021,40.0,975.0,2.4,60.7,36.3,"{""family_household_pct"": 64.2, ""non_family_household_pct"": 35.8, ""lone_person_pct"": 32.1}"
South Granville,NSW,SAL13599,2021,32.0,1104.0,3.3,46.2,47.9,"{""family_household_pct"": 72.4, ""non_family_household_pct"": 27.8, ""lone_person_pct"": 25.6}"
South Gundagai,NSW,SAL13600,2021,45.0,1279.0,2.5,78.9,21.4,"{""family_household_pct"": 69.3, ""non_family_household_pct"": 31.1, ""lone_person_pct"": 27.9}"
South Gundurimba,NSW,SAL13601,2021,47.0,1381.0,2.4,80.0,17.0,"{""family_household_pct"": 68.1, ""non_family_household_pct"": 32.6, ""lone_person_pct"": 32.6}"
South Guyra,NSW,SAL13602,2021,40.0,827.0,2.1,63.4,23.1,"{""family_household_pct"": 49.3, ""non_family_household_pct"": 52.2, ""lone_person_pct"": 44.8}"
South Hurstville,NSW,SAL13603,2021,40.0,1867.0,2.8,68.1,29.5,"{""family_household_pct"": 74.6, ""non_family_household_pct"": 25.7, ""lone_person_pct"": 22.6}"
South Kempsey,NSW,SAL13604,2021,42.0,1074.0,2.6,61.3,32.4,"{""family_household_pct"": 67.4, ""non_family_household_pct"": 32.4, ""lone_person_pct"": 26.5}"
South Lismore,NSW,SAL13605,2021,39.0,1252.0,2.4,66.2,31.6,"{""family_household_pct"": 61.4, ""non_family_household_pct"": 39.4, ""lone_person_pct"": 32.0}"
South Littleton,NSW,SAL13606,2021,39.0,1317.0,2.3,68.7,26.0,"{""family_household_pct"": 60.3, ""non_family_household_pct"": 38.9, ""lone_person_pct"": 37.4}"
South Maitland,NSW,SAL13607,2021,44.0,995.0,2.1,64.5,32.0,"{""family_household_pct"": 51.8, ""non_family_household_pct"": 44.7, ""lone_person_pct"": 44.7}"
South Maroota,NSW,SAL13608,2021,41.0,2424.0,3.1,89.9,7.4,"{""family_household_pct"": 84.0, ""non_family_household_pct"": 13.8, ""lone_person_pct"": 12.2}"
South Murwillumbah,NSW,SAL13609,2021,48.0,1292.0,2.4,71.1,25.3,"{""family_household_pct"": 63.3, ""non_family_household_pct"": 37.2, ""lone_person_pct"": 32.7}"
South Nowra,NSW,SAL13610,2021,33.0,1789.0,2.8,62.6,34.8,"{""family_household_pct"": 76.0, ""non_family_household_pct"": 23.7, ""lone_person_pct"": 20.8}"
South Pambula,NSW,SAL13611,2021,42.0,1608.0,2.7,87.1,15.3,"{""family_household_pct"": 81.2, ""non_family_household_pct"": 21.2, ""lone_person_pct"": 20.0}"
South Penrith,NSW,SAL13612,2021,37.0,1870.0,2.7,67.9,30.2,"{""family_household_pct"": 76.9, ""non_family_household_pct"": 23.2, ""lone_person_pct"": 20.7}"
South Tamworth,NSW,SAL13613,2021,37.0,1029.0,2.2,47.6,48.5,"{""family_household_pct"": 57.3, ""non_family_household_pct"": 42.8, ""lone_person_pct"": 38.0}"
South Turramurra,NSW,SAL13614,2021,42.0,3447.0,3.1,90.3,8.0,"{""family_household_pct"": 86.7, ""non_family_household_pct"": 13.1, ""lone_person_pct"": 11.6}"
South Wentworthville,NSW,SAL13615,2021,35.0,1793.0,3.0,57.8,38.6,"{""family_household_pct"": 76.2, ""non_family_household_pct"": 23.9, ""lone_person_pct"": 20.5}"
South West Rocks,NSW,SAL13616,2021,58.0,980.0,2.1,73.0,24.2,"{""family_household_pct"": 66.3, ""non_family_household_pct"": 33.9, ""lone_person_pct"": 30.8}"
South Windsor,NSW,SAL13617,2021,34.0,1466.0,2.5,53.7,44.1,"{""family_household_pct"": 67.4, ""non_family_household_pct"": 32.6, ""lone_person_pct"": 29.4}"
South Wolumla,NSW,SAL13618,2021,48.0,1471.0,2.6,84.4,7.8,"{""family_household_pct"": 81.2, ""non_family_household_pct"": 17.2, ""lone_person_pct"": 21.9}"
Southampton,NSW,SAL13619,2021,44.0,1999.0,2.6,133.3,0.0,"{""family_household_pct"": 91.7, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Southgate,NSW,SAL13620,2021,51.0,1321.0,2.4,71.6,18.5,"{""family_household_pct"": 70.4, ""non_family_household_pct"": 23.5, ""lone_person_pct"": 23.5}"
Speers Point,NSW,SAL13621,2021,45.0,1766.0,2.4,74.7,22.5,"{""family_household_pct"": 69.9, ""non_family_household_pct"": 30.0, ""lone_person_pct"": 27.9}"
Speewa,NSW,SAL13622,2021,45.0,1375.0,2.9,58.1,7.0,"{""family_household_pct"": 76.7, ""non_family_household_pct"": 18.6, ""lone_person_pct"": 18.6}"
Spencer,NSW,SAL13623,2021,52.0,913.0,2.0,90.8,4.6,"{""family_household_pct"": 50.4, ""non_family_household_pct"": 51.1, ""lone_person_pct"": 43.5}"
Spicers Creek,NSW,SAL13624,2021,51.0,1125.0,2.8,100.0,0.0,"{""family_household_pct"": 107.1, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Spicketts Creek,NSW,SAL13625,2021,60.0,1375.0,2.2,82.4,0.0,"{""family_household_pct"": 52.9, ""non_family_household_pct"": 52.9, ""lone_person_pct"": 17.6}"
Splitters Creek,NSW,SAL13626,2021,47.0,2968.0,2.9,95.7,7.6,"{""family_household_pct"": 93.5, ""non_family_household_pct"": 6.5, ""lone_person_pct"": 6.5}"
