suburb,state,sal_code,census_year,median_age,median_household_income_weekly,avg_household_size,owner_occupied_pct,renter_pct,household_composition_json
Alison,NSW,SAL10035,2021,53.0,1375.0,2.1,68.3,22.0,"{""family_household_pct"": 61.0, ""non_family_household_pct"": 43.9, ""lone_person_pct"": 41.5}"
Allambie Heights,NSW,SAL10036,2021,43.0,2890.0,3.0,78.8,18.0,"{""family_household_pct"": 79.6, ""non_family_household_pct"": 20.3, ""lone_person_pct"": 18.9}"
Allandale,NSW,SAL10037,2021,49.0,2124.0,2.3,84.4,0.0,"{""family_household_pct"": 68.8, ""non_family_household_pct"": 21.9, ""lone_person_pct"": 21.9}"
Allawah,NSW,SAL10038,2021,36.0,1774.0,2.5,51.0,46.1,"{""family_household_pct"": 70.0, ""non_family_household_pct"": 29.8, ""lone_person_pct"": 24.1}"
Alleena,NSW,SAL10039,2021,31.0,1875.0,3.2,78.6,0.0,"{""family_household_pct"": 92.9, ""non_family_household_pct"": 64.3, ""lone_person_pct"": 64.3}"
Allgomera,NSW,SAL10040,2021,53.0,949.0,2.4,106.0,0.0,"{""family_household_pct"": 74.0, ""non_family_household_pct"": 44.0, ""lone_person_pct"": 26.0}"
Allworth,NSW,SAL10041,2021,48.0,1213.0,2.2,78.8,12.5,"{""family_household_pct"": 56.2, ""non_family_household_pct"": 42.5, ""lone_person_pct"": 42.5}"
Allynbrook,NSW,SAL10042,2021,64.0,1083.0,1.9,92.0,12.0,"{""family_household_pct"": 64.0, ""non_family_household_pct"": 24.0, ""lone_person_pct"": 20.0}"
Alma Park,NSW,SAL10043,2021,50.0,1833.0,2.8,107.7,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Alpine,NSW,SAL10044,2021,49.0,2291.0,2.8,65.4,19.2,"{""family_household_pct"": 84.6, ""non_family_household_pct"": 13.5, ""lone_person_pct"": 17.3}"
Alstonvale,NSW,SAL10045,2021,53.0,2038.0,2.6,82.8,11.5,"{""family_household_pct"": 79.6, ""non_family_household_pct"": 20.4, ""lone_person_pct"": 13.4}"
Alstonville,NSW,SAL10046,2021,51.0,1312.0,2.3,71.6,23.1,"{""family_household_pct"": 65.6, ""non_family_household_pct"": 34.5, ""lone_person_pct"": 32.0}"
Alumy Creek,NSW,SAL10047,2021,41.0,1281.0,2.6,67.6,0.0,"{""family_household_pct"": 70.6, ""non_family_household_pct"": 26.5, ""lone_person_pct"": 26.5}"
Amaroo,NSW,SAL10048,2021,45.0,2166.0,2.7,130.0,40.0,"{""family_household_pct"": 120.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Ambarvale,NSW,SAL10049,2021,34.0,1431.0,2.8,54.1,43.3,"{""family_household_pct"": 79.5, ""non_family_household_pct"": 20.5, ""lone_person_pct"": 18.2}"
Amosfield,NSW,SAL10050,2021,63.0,1249.0,1.9,58.8,0.0,"{""family_household_pct"": 29.4, ""non_family_household_pct"": 41.2, ""lone_person_pct"": 41.2}"
Anabranch North,NSW,SAL10051,2021,33.0,3250.0,1.7,100.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Anabranch South,NSW,SAL10052,2021,46.0,1125.0,2.7,85.7,0.0,"{""family_household_pct"": 78.6, ""non_family_household_pct"": 28.6, ""lone_person_pct"": 28.6}"
Anambah,NSW,SAL10053,2021,37.0,3049.0,3.4,100.0,15.8,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 21.1, ""lone_person_pct"": 21.1}"
Ando,NSW,SAL10054,2021,51.0,2250.0,2.8,81.2,0.0,"{""family_household_pct"": 68.8, ""non_family_household_pct"": 18.8, ""lone_person_pct"": 18.8}"
Anembo,NSW,SAL10055,2021,48.0,2083.0,2.5,95.2,0.0,"{""family_household_pct"": 81.0, ""non_family_household_pct"": 28.6, ""lone_person_pct"": 28.6}"
Angledale,NSW,SAL10056,2021,50.0,1474.0,2.5,77.0,23.0,"{""family_household_pct"": 68.9, ""non_family_household_pct"": 23.0, ""lone_person_pct"": 23.0}"
Angledool,NSW,SAL10057,2021,56.0,825.0,1.6,65.0,0.0,"{""family_household_pct"": 50.0, ""non_family_household_pct"": 35.0, ""lone_person_pct"": 35.0}"
Anglers Reach,NSW,SAL10058,2021,65.0,900.0,1.9,78.8,9.1,"{""family_household_pct"": 54.5, ""non_family_household_pct"": 30.3, ""lone_person_pct"": 33.3}"
Angourie,NSW,SAL10059,2021,58.0,1437.0,2.3,91.4,14.8,"{""family_household_pct"": 74.1, ""non_family_household_pct"": 23.5, ""lone_person_pct"": 23.5}"
Angus,NSW,SAL10060,2021,45.0,1890.0,3.0,69.2,20.0,"{""family_household_pct"": 70.0, ""non_family_household_pct"": 25.8, ""lone_person_pct"": 25.8}"
Anna Bay,NSW,SAL10061,2021,52.0,1189.0,2.3,78.7,18.4,"{""family_household_pct"": 70.5, ""non_family_household_pct"": 29.5, ""lone_person_pct"": 27.0}"
Annandale,NSW,SAL10062,2021,38.0,2683.0,2.3,56.4,41.8,"{""family_household_pct"": 62.7, ""non_family_household_pct"": 37.4, ""lone_person_pct"": 31.5}"
Annangrove,NSW,SAL10063,2021,44.0,2650.0,3.5,87.7,11.1,"{""family_household_pct"": 89.4, ""non_family_household_pct"": 11.8, ""lone_person_pct"": 10.1}"
Appin,NSW,SAL10064,2021,33.0,2423.0,3.2,81.5,16.8,"{""family_household_pct"": 85.7, ""non_family_household_pct"": 14.5, ""lone_person_pct"": 12.9}"
